area_name,Unemployment
Barking and Dagenham,6.10%
Barnet,4.60%
Bexley,3.70%
Brent,5.70%
Bromley,3.70%
Camden,4.40%
Croydon,5.40%
Ealing,5.30%
Enfield,5.30%
Greenwich,5.40%
Hackney,4.70%
Hammersmith and Fulham,4.70%
Haringey,4.60%
Harrow,3.90%
Havering,4.80%
Hillingdon,5%
Hounslow,5.60%
Islington,4%
Kensington and Chelsea,6.50%
Kingston upon Thames,4.80%
Lambeth,6.10%
Lewisham,4.30%
Merton,5.10%
Newham,5.70%
Redbridge,5.40%
Richmond upon Thames,3.20%
Southwark,5.80%
Sutton,5.20%
Tower Hamlets,7.20%
Waltham Forest,4.60%
Wandsworth,5.20%
Westminster,6.60%
London,4.80%
Inner London,5%
Outer London,4.70%
